asset_path,asset_url,session_id,subject_id,session_date,session_time,mptp_status,related_publications,chamber_grid_ap_mm,chamber_grid_ml_mm,chamber_insertion_depth_mm,total_units,ptn_count,csn_count,other_neuron_count,neuron_projection_types,min_antidromic_latency_ms,max_antidromic_latency_ms,mean_antidromic_latency_ms,receptive_field_locations,total_antidromic_sweeps,has_frequency_following,frequency_following_sweep_count,has_collision,collision_sweep_count,antidromic_protocols,total_trials,flexion_trials,extension_trials,has_perturbation_trials,perturbation_trial_count,mean_peak_velocity,mean_movement_amplitude,mean_reaction_time,has_emg,has_lfp,has_isolation_monitoring_stim
sub-V/sub-V_ses-V++v1001++PreMPTP++Depth17000um++19990409_behavior+ecephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/b2b/606/b2b6063d-1d1c-4c80-a2b8-cb7f1d481fd8?response-content-disposition=attachment%3B%20filename%3D%22sub-V_ses-V%2B%2Bv1001%2B%2BPreMPTP%2B%2BDepth17000um%2B%2B19990409_behavior%2Becephys.nwb%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUBRWC5GAEKH3223E%2F20260122%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260122T162120Z&X-Amz-Expires=21600&X-Amz-SignedHeaders=host&X-Amz-Signature=9e66bca79057a225b41ef127fad7fbe724a73d4bf961a74c02985450c8389344,V++v1001++PreMPTP++Depth17000um++19990409,V,1999-04-09,00:00:00,Pre-MPTP,https://doi.org/10.1093/cercor/bhq217; https://doi.org/10.3389/fnsys.2013.00098; https://doi.org/10.1093/brain/awv312,4.0,-6.0,17.0,2,0,1,1,corticostriatal_neuron; no_response,4.45,4.45,4.45,hand,55,True,16,True,39,Collision; FrequencyFollowing,20,10,10,True,12,119.63821704277998,-0.013812641489485245,0.36999999999999933,True,False,False
sub-V/sub-V_ses-V++v0601++PreMPTP++Depth19500um++19990407_behavior+ecephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/b8f/abb/b8fabba2-b6a7-410b-a503-1c6e1e5c41a0?response-content-disposition=attachment%3B%20filename%3D%22sub-V_ses-V%2B%2Bv0601%2B%2BPreMPTP%2B%2BDepth19500um%2B%2B19990407_behavior%2Becephys.nwb%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUBRWC5GAEKH3223E%2F20260122%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260122T162124Z&X-Amz-Expires=21600&X-Amz-SignedHeaders=host&X-Amz-Signature=1a7127f810956e7cf9a394340286966ab73b95c5869e18326422ddb85162ff8a,V++v0601++PreMPTP++Depth19500um++19990407,V,1999-04-07,00:00:00,Pre-MPTP,https://doi.org/10.1093/cercor/bhq217; https://doi.org/10.3389/fnsys.2013.00098; https://doi.org/10.1093/brain/awv312,2.0,-6.0,19.5,1,0,1,0,corticostriatal_neuron,3.15,3.15,3.15,hand,60,True,8,True,52,Collision; FrequencyFollowing,20,10,10,True,12,137.00063186971775,0.1294537217582576,0.2882000000000017,True,False,False
sub-V/sub-V_ses-V++v1003++PreMPTP++Depth18000um++19990409_behavior+ecephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/e25/7d3/e257d3e9-69f6-4190-98af-14620ed43bcc?response-content-disposition=attachment%3B%20filename%3D%22sub-V_ses-V%2B%2Bv1003%2B%2BPreMPTP%2B%2BDepth18000um%2B%2B19990409_behavior%2Becephys.nwb%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUBRWC5GAEKH3223E%2F20260122%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260122T162128Z&X-Amz-Expires=21600&X-Amz-SignedHeaders=host&X-Amz-Signature=a28ad176d71e45750747a7edb065595a76b16d6f775aac21c981d411f095bdf7,V++v1003++PreMPTP++Depth18000um++19990409,V,1999-04-09,00:00:00,Pre-MPTP,https://doi.org/10.1093/cercor/bhq217; https://doi.org/10.3389/fnsys.2013.00098; https://doi.org/10.1093/brain/awv312,4.0,-6.0,18.0,1,0,1,0,corticostriatal_neuron,4.85,4.85,4.85,,31,True,10,True,21,Collision; FrequencyFollowing,20,10,10,True,14,121.70135875695928,0.17626107507276476,0.3395000000000006,True,False,False
sub-V/sub-V_ses-V++v1002++PreMPTP++Depth17800um++19990409_behavior+ecephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/205/d5a/205d5a98-0db0-46e2-aa6c-657632d21fde?response-content-disposition=attachment%3B%20filename%3D%22sub-V_ses-V%2B%2Bv1002%2B%2BPreMPTP%2B%2BDepth17800um%2B%2B19990409_behavior%2Becephys.nwb%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUBRWC5GAEKH3223E%2F20260122%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260122T162133Z&X-Amz-Expires=21600&X-Amz-SignedHeaders=host&X-Amz-Signature=ee63cc3de2c0638e8d4470f527aa3c53e690b7c51aa1ed2a8e6872326d5607be,V++v1002++PreMPTP++Depth17800um++19990409,V,1999-04-09,00:00:00,Pre-MPTP,https://doi.org/10.1093/cercor/bhq217; https://doi.org/10.3389/fnsys.2013.00098; https://doi.org/10.1093/brain/awv312,4.0,-6.0,17.8,1,1,0,0,pyramidal_tract_neuron,1.4,1.4,1.4,hand,46,True,15,True,31,Collision; FrequencyFollowing,20,10,10,True,14,109.25941278620485,-0.4690791872486729,0.3725499999999995,True,False,False
sub-V/sub-V_ses-V++v0502++PreMPTP++Depth22130um++19990406_behavior+ecephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/d55/b0b/d55b0ba4-b399-4a78-8e58-b34e7d65628e?response-content-disposition=attachment%3B%20filename%3D%22sub-V_ses-V%2B%2Bv0502%2B%2BPreMPTP%2B%2BDepth22130um%2B%2B19990406_behavior%2Becephys.nwb%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUBRWC5GAEKH3223E%2F20260122%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260122T162137Z&X-Amz-Expires=21600&X-Amz-SignedHeaders=host&X-Amz-Signature=ed3686a0bfd47157c5a9c8eb15da0e6857a4c828e70087de468a4d778a7fa81d,V++v0502++PreMPTP++Depth22130um++19990406,V,1999-04-06,00:00:00,Pre-MPTP,https://doi.org/10.1093/cercor/bhq217; https://doi.org/10.3389/fnsys.2013.00098; https://doi.org/10.1093/brain/awv312,4.0,-4.0,22.13,1,1,0,0,pyramidal_tract_neuron,1.4,1.4,1.4,wrist / hand,31,True,9,True,22,Collision; FrequencyFollowing,20,10,10,True,16,128.02352210134035,0.5818234121776076,0.2931500000000021,True,False,False
sub-V/sub-V_ses-V++v1004++PreMPTP++Depth18470um++19990409_behavior+ecephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/a66/6f5/a666f5ac-1d63-4cf6-819a-531f04ebe67a?response-content-disposition=attachment%3B%20filename%3D%22sub-V_ses-V%2B%2Bv1004%2B%2BPreMPTP%2B%2BDepth18470um%2B%2B19990409_behavior%2Becephys.nwb%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUBRWC5GAEKH3223E%2F20260122%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260122T162141Z&X-Amz-Expires=21600&X-Amz-SignedHeaders=host&X-Amz-Signature=2aea6e2f339ce1bd300b90384e031f5f0e658e677406dd0a8f01af7e28b0ca0f,V++v1004++PreMPTP++Depth18470um++19990409,V,1999-04-09,00:00:00,Pre-MPTP,https://doi.org/10.1093/cercor/bhq217; https://doi.org/10.3389/fnsys.2013.00098; https://doi.org/10.1093/brain/awv312,4.0,-6.0,18.47,1,0,1,0,corticostriatal_neuron,4.0,4.0,4.0,,31,True,8,True,23,Collision; FrequencyFollowing,17,8,9,True,13,128.3851534247863,-1.2538495349983894,0.3604117647058833,True,False,False
sub-V/sub-V_ses-V++v1006++PreMPTP++Depth16770um++19990412_behavior+ecephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/920/2a2/9202a2fe-ae0b-4797-acba-11e157a3eea3?response-content-disposition=attachment%3B%20filename%3D%22sub-V_ses-V%2B%2Bv1006%2B%2BPreMPTP%2B%2BDepth16770um%2B%2B19990412_behavior%2Becephys.nwb%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUBRWC5GAEKH3223E%2F20260122%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260122T162145Z&X-Amz-Expires=21600&X-Amz-SignedHeaders=host&X-Amz-Signature=03ac3fc116634993c1ceba551a47aa44dc97c2d30e9060916deef915ef3692c2,V++v1006++PreMPTP++Depth16770um++19990412,V,1999-04-12,00:00:00,Pre-MPTP,https://doi.org/10.1093/cercor/bhq217; https://doi.org/10.3389/fnsys.2013.00098; https://doi.org/10.1093/brain/awv312,4.0,-6.0,16.77,1,1,0,0,pyramidal_tract_neuron,2.1,2.1,2.1,wrist,31,True,6,True,25,Collision; FrequencyFollowing,20,10,10,True,13,122.53398786209925,0.7119654859086278,0.30909999999999954,True,False,False
sub-V/sub-V_ses-V++v1101++PreMPTP++Depth17900um++19990413_behavior+ecephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/0e0/edb/0e0edb9c-2b2b-4cdf-853f-637ccd722b2f?response-content-disposition=attachment%3B%20filename%3D%22sub-V_ses-V%2B%2Bv1101%2B%2BPreMPTP%2B%2BDepth17900um%2B%2B19990413_behavior%2Becephys.nwb%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUBRWC5GAEKH3223E%2F20260122%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260122T162149Z&X-Amz-Expires=21600&X-Amz-SignedHeaders=host&X-Amz-Signature=4f0dd48e31d23186233c450b85f433fadc5bcc847376f848bc9e7fda8320291e,V++v1101++PreMPTP++Depth17900um++19990413,V,1999-04-13,00:00:00,Pre-MPTP,https://doi.org/10.1093/cercor/bhq217; https://doi.org/10.3389/fnsys.2013.00098; https://doi.org/10.1093/brain/awv312,6.0,-4.0,17.9,1,1,0,0,pyramidal_tract_neuron,4.1,4.1,4.1,,30,True,12,True,18,Collision; FrequencyFollowing,12,6,6,True,9,112.50495861958285,-1.7309643782856063,0.32575000000000087,True,False,False
sub-V/sub-V_ses-V++v1102++PreMPTP++Depth17410um++19990413_behavior+ecephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/917/fb0/917fb0c0-3bc0-49ce-bc0d-69a621197544?response-content-disposition=attachment%3B%20filename%3D%22sub-V_ses-V%2B%2Bv1102%2B%2BPreMPTP%2B%2BDepth17410um%2B%2B19990413_behavior%2Becephys.nwb%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUBRWC5GAEKH3223E%2F20260122%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260122T162154Z&X-Amz-Expires=21600&X-Amz-SignedHeaders=host&X-Amz-Signature=5f9e354c9186af9b185763a1f7c7e2ad8379b94ba06ab2dc2407cafad381aa10,V++v1102++PreMPTP++Depth17410um++19990413,V,1999-04-13,00:00:00,Pre-MPTP,https://doi.org/10.1093/cercor/bhq217; https://doi.org/10.3389/fnsys.2013.00098; https://doi.org/10.1093/brain/awv312,6.0,-4.0,17.41,2,0,0,2,no_response,,,,hand,0,False,0,False,0,,11,6,5,True,7,118.64174090602165,0.8818257672035983,0.30627272727272864,True,False,False
sub-V/sub-V_ses-V++v1103++PreMPTP++Depth18000um++19990413_behavior+ecephys.nwb,https://dandiarchive.s3.amazonaws.com/blobs/b2c/65f/b2c65f59-ced0-4d5d-9862-bdbf6d89d81c?response-content-disposition=attachment%3B%20filename%3D%22sub-V_ses-V%2B%2Bv1103%2B%2BPreMPTP%2B%2BDepth18000um%2B%2B19990413_behavior%2Becephys.nwb%22&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAUBRWC5GAEKH3223E%2F20260122%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260122T162159Z&X-Amz-Expires=21600&X-Amz-SignedHeaders=host&X-Amz-Signature=6eb9066f99932ce91ef5e8150e4f3840a4f771537b7c120d10ebe8e8e0fb9b1d,V++v1103++PreMPTP++Depth18000um++19990413,V,1999-04-13,00:00:00,Pre-MPTP,https://doi.org/10.1093/cercor/bhq217; https://doi.org/10.3389/fnsys.2013.00098; https://doi.org/10.1093/brain/awv312,6.0,-4.0,18.0,1,0,0,1,no_response,,,,,0,False,0,False,0,,18,9,9,True,10,112.7524006692759,-0.01861028579893799,0.3421111111111134,True,False,False
